08:15:10 [VehicleCarKey] Player "P@lko2265" (id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM= pos=<9082.366211, 2.841854, 4670.706543>) used the  ExpansionCarKey to unlock a ExpansionUtilityBoat
08:16:35 [VehicleCarKey] Player "P@lko2265" (id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM= pos=<9082.431641, 2.824051, 4670.614746>) used the  ExpansionCarKey to lock a ExpansionUtilityBoat
08:19:49 [MissionAirdrop] An airdrop is heading towards "Camprefugi" (pos=<4669.000000, 0.000000, 5240.000000> type=Random_Camprefugi) with a ExpansionAirdropContainer_Military
08:19:49 [MissionAirdrop] An airdrop is heading towards "Schlachtfeld" (pos=<3059.000000, 0.000000, 1707.000000> type=Random_Schlachtfeld) with a ExpansionAirdropContainer_Military
08:26:02 [VehicleCarKey] Player "P@lko2265" (id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM= pos=<9082.142578, 2.917095, 4671.271484>) used the  ExpansionCarKey to unlock a ExpansionUtilityBoat
08:27:04 [VehicleCarKey] Player "P@lko2265" (id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM= pos=<9082.397461, 2.930686, 4671.048828>) used the  ExpansionCarKey to lock a ExpansionUtilityBoat
10:01:18 [MissionAirdrop] An airdrop is heading towards "Schlachtfeld" (pos=<3059.000000, 0.000000, 1707.000000> type=Random_Schlachtfeld) with a ExpansionAirdropContainer_Military
10:01:18 [MissionAirdrop] An airdrop is heading towards "Schlachtfeld" (pos=<3059.000000, 0.000000, 1707.000000> type=Random_Schlachtfeld) with a ExpansionAirdropContainer_Military
10:05:01 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3528.566895, 0.483924, 5383.733398>) used the  ExpansionCarKey to unlock a ExpansionUtilityBoat
10:06:42 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<4235.990723, 0.866332, 5279.484375>) used the  ExpansionCarKey to lock a ExpansionUtilityBoat
10:21:38 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<4238.847168, 1.392956, 5280.076172>) used the  ExpansionCarKey to unlock a ExpansionUtilityBoat
10:23:30 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3539.135010, 0.512522, 5385.756348>) used the  ExpansionCarKey to lock a ExpansionUtilityBoat
10:30:06 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3449.955811, 3.761242, 5415.993652>) used the  ExpansionCarKey to unlock a Expansion_Landrover_Orange
10:35:10 [Safezone] Player "MADness" (id=OWXX6Y-5LFd-7A6ELi2o-QPO0kjmZUMZvMTKL0AQ_q0= pos=<4238.696289, 9.966623, 4164.468750>) Entered the safezone
10:35:48 [VehicleCarKey] Player "MADness" (id=OWXX6Y-5LFd-7A6ELi2o-QPO0kjmZUMZvMTKL0AQ_q0= pos=<4248.855957, 10.848242, 4173.635742>) used the  ExpansionCarKey to unlock a CrSk_Hummer_H2_6x6_Pink
10:36:30 [Safezone] Player "MADness" (id=OWXX6Y-5LFd-7A6ELi2o-QPO0kjmZUMZvMTKL0AQ_q0= pos=<4140.360352, 11.669010, 4436.065918>) Left the safezone
10:36:58 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3447.544922, 3.685796, 5417.778320>) used the  ExpansionCarKey to lock a Expansion_Landrover_Orange
10:39:49 [Safezone] Player "Pietro" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA= pos=<4255.021973, 16.099810, 4111.039063>) Entered the safezone
10:40:38 [Safezone] Player "Pietro" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA= pos=<3001.746582, 20.030790, 4993.812012>) Left the safezone
10:44:17 [AdminTools] Player "Pietro" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA= pos=<2949.833008, 20.022499, 4949.783203>) used the Admin CarKey to unpair a Expansion_Landrover
10:44:27 [VehicleCarKey] Player "Pietro" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA= pos=<2949.267822, 20.022499, 4949.395996>) paired a  ExpansionCarKey to Expansion_Landrover
10:45:13 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<2949.156250, 20.022499, 4948.733887>) used the  ExpansionCarKey to lock a Expansion_Landrover
10:45:14 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<2949.156250, 20.022499, 4948.733887>) used the  ExpansionCarKey to unlock a Expansion_Landrover
10:45:49 [Safezone] Player "Pietro" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA= pos=<4264.660156, 11.185332, 4188.279785>) Entered the safezone
10:47:35 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3443.124023, 3.637118, 5409.098633>) used the  ExpansionCarKey to lock a Expansion_Landrover
10:48:26 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3446.584961, 3.660666, 5417.880371>) used the  ExpansionCarKey to unlock a Expansion_Landrover_Orange
10:48:47 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3446.584961, 3.660757, 5417.880371>) used the  ExpansionCarKey to lock a Expansion_Landrover_Orange
10:52:08 [VehicleCarKey] Player "MADness" (id=OWXX6Y-5LFd-7A6ELi2o-QPO0kjmZUMZvMTKL0AQ_q0= pos=<4488.057617, 2.045169, 3156.548584>) used the  ExpansionCarKey to lock a CrSk_Hummer_H2_6x6_Pink
10:54:43 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3449.538086, 3.746394, 5416.482910>) used the  ExpansionCarKey to unlock a Expansion_Landrover_Orange
10:57:28 [Safezone] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<4190.537598, 15.312365, 4243.733398>) Entered the safezone
10:58:00 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<4252.405273, 11.978368, 4198.258789>) used the  ExpansionCarKey to lock a Expansion_Landrover_Orange
10:58:27 [Market] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=) has send a requested to sell cz75 x1 at the trader "Weapons (Denis [WEAPONS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
10:58:27 [Market] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=) has sold cz75 x1 at the trader "Weapons (Denis [WEAPONS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 103.
10:58:28 [Market] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=) has send a requested to sell cz75 x1 at the trader "Weapons (Denis [WEAPONS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
10:58:28 [Market] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=) has sold cz75 x1 at the trader "Weapons (Denis [WEAPONS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 60.
10:58:30 [Market] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=) has send a requested to sell expansion_longhorn x1 at the trader "Weapons (Denis [WEAPONS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
