07:37:49 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=
07:37:49 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=
07:37:49 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 1 - Creator UID: u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=
07:37:49 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 5 - Creator UID: u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=
07:37:49 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 29 - Creator UID: u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=
07:39:10 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<3423.323730, 11.601492, 5052.269531>) used the  ExpansionCarKey to unlock a Expansion_Landrover_Green
07:42:57 [MissionAirdrop] An airdrop is heading towards "PVP" (pos=<423.000000, 0.000000, 6703.000000> type=IcyPleasure) with a ExpansionAirdropContainer_Military_WinterCamo
07:42:57 [MissionAirdrop] An airdrop is heading towards "Weitmoos" (pos=<6222.000000, 0.000000, 9723.000000> type=Random_Weitmoos) with a ExpansionAirdropContainer_Military
07:44:11 [Safezone] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<4189.398926, 15.315300, 4242.710938>) Entered the safezone
07:45:08 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has send a requested to sell expansion_m9 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:45:08 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has sold expansion_m9 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 185.
07:45:19 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has send a requested to sell twp_aa12black x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:45:19 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has sold twp_aa12black x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2500.
07:45:28 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has send a requested to sell twp_frf2 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:45:29 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has sold twp_frf2 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2860.
07:45:29 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has send a requested to sell twp_frf2blackdragon x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
