17:26:56 [Expansion Quests] - SetupClientData - Loaded existend player quest data for player with UID: u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=
17:26:56 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 20 - Creator UID: u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=
17:26:56 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=
17:31:42 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<3386.454834, 7.990400, 6547.118164>) used the  ExpansionCarKey to unlock a Expansion_Landrover_Green
17:31:57 [MissionAirdrop] An airdrop is heading towards "Schlachtfeld" (pos=<3059.000000, 0.000000, 1707.000000> type=Random_Schlachtfeld) with a ExpansionAirdropContainer_Basebuilding
17:31:57 [MissionAirdrop] An airdrop is heading towards "Prison" (pos=<1399.579956, 0.000000, 9977.769531> type=Random_Prison) with a ExpansionAirdropContainer
17:44:08 [Expansion Quests] - SetupClientData - Loaded existend player quest data for player with UID: OWXX6Y-5LFd-7A6ELi2o-QPO0kjmZUMZvMTKL0AQ_q0=
17:44:08 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 19 - Creator UID: OWXX6Y-5LFd-7A6ELi2o-QPO0kjmZUMZvMTKL0AQ_q0=
17:44:08 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 20 - Creator UID: OWXX6Y-5LFd-7A6ELi2o-QPO0kjmZUMZvMTKL0AQ_q0=
17:44:08 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: OWXX6Y-5LFd-7A6ELi2o-QPO0kjmZUMZvMTKL0AQ_q0=
17:54:41 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<6636.319824, 7.796704, 5874.960449>) used the  ExpansionCarKey to lock a Expansion_Landrover_Green
17:58:36 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<6635.630859, 7.796702, 5874.735352>) used the  ExpansionCarKey to unlock a Expansion_Landrover_Green
18:00:16 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<6917.704102, 35.612434, 6391.624512>) used the  ExpansionCarKey to lock a Expansion_Landrover_Green
18:02:04 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<6918.523438, 35.612495, 6391.235840>) used the  ExpansionCarKey to unlock a Expansion_Landrover_Green
18:02:39 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<6918.371094, 35.612495, 6391.225586>) used the  ExpansionCarKey to lock a Expansion_Landrover_Green
